site.name,site.id,dataset.id,age,tave_mat,tave_wa,tave_wapls,tave,lat,long
Browns Pond,309,316,500,13.764,15.64273717,15.57793148,14.99488955,38.154722,-79.616389
Browns Pond,309,316,1500,13.233,15.3091452,15.08011805,14.54075442,38.154722,-79.616389
Browns Pond,309,316,2500,12.972,14.29246137,14.04410096,13.76952078,38.154722,-79.616389
Browns Pond,309,316,3500,15.078,14.42833752,14.06413542,14.52349098,38.154722,-79.616389
Browns Pond,309,316,4500,13.352,14.62129033,13.94202979,13.97177337,38.154722,-79.616389
Browns Pond,309,316,5500,13.134,12.35976061,11.17528709,12.2230159,38.154722,-79.616389
Browns Pond,309,316,6500,14.433,14.91347382,14.46619087,14.60422156,38.154722,-79.616389
Browns Pond,309,316,7500,13.408,15.18298858,15.07362538,14.55487132,38.154722,-79.616389
Browns Pond,309,316,8500,13.159,13.54669005,13.40913827,13.37160944,38.154722,-79.616389
Browns Pond,309,316,9500,7.411,8.846320223,11.15474712,9.137355781,38.154722,-79.616389
Browns Pond,309,316,10500,7.348,5.776978369,6.212151225,6.445709865,38.154722,-79.616389
Browns Pond,309,316,11500,4.476,4.536120032,6.176884907,5.063001646,38.154722,-79.616389
Browns Pond,309,316,12500,4.48,2.512625903,4.054635188,3.682420364,38.154722,-79.616389
Browns Pond,309,316,13500,3.654,2.08698391,3.517727424,3.086237111,38.154722,-79.616389
Browns Pond,309,316,14500,3.734,2.59253327,4.353613964,3.560049078,38.154722,-79.616389
Browns Pond,309,316,15500,3.7465,2.30457769,4.05985916,3.370312283,38.154722,-79.616389
Browns Pond,309,316,16500,4.5156,3.141258524,5.190389588,4.282416037,38.154722,-79.616389
Browns Pond,309,316,17500,1.21,0.135306449,1.545350036,0.963552162,38.154722,-79.616389
Browns Pond,309,316,18500,1.844,0.836133247,2.369964266,1.683365838,38.154722,-79.616389
Browns Pond,309,316,19500,-0.7,-0.703884397,0.360352003,-0.347844131,38.154722,-79.616389
Chase Pond,353,361,10500,3.5988,0.736818152,2.772585674,2.369401275,45.651389,-60.675
Chase Pond,353,361,11500,-1.376833333,-0.417923061,0.538274055,-0.418827446,45.651389,-60.675
Chase Pond,353,361,12500,-10.524,-3.993763744,-6.079589877,-6.86578454,45.651389,-60.675
Chase Pond,353,361,13500,-8.1156,-2.33263766,-3.231194646,-4.559810769,45.651389,-60.675
Chase Pond,353,361,14500,-4.922,-1.56556884,-2.10917505,-2.865581297,45.651389,-60.675
Chase Pond,353,361,15500,-9.542,-1.360602141,-2.06585306,-4.3228184,45.651389,-60.675
Chase Pond,353,361,16500,-9.8576,-3.145911317,-5.007522797,-6.003678038,45.651389,-60.675
Chatsworth Bog,364,375,500,10.52,10.06197536,8.81401347,9.798662945,40.675865,-88.324435
