"sitename","lat","long","mean","sd","median","lower","upper"
"Browns Pond",38.154722,-79.616389,-3.66945656918655,0.444508688919052,-3.65779384752238,-4.55116918760513,-2.81996095870553
"Chase Pond",45.651389,-60.675,-10.7577397490634,0.498196349258406,-10.7563190677611,-11.7324870308228,-9.78641983867057
"Chatsworth Bog",40.675865,-88.324435,-0.895808843874282,0.343222081756429,-0.872217682505301,-1.63670488699563,-0.288127066367714
"Clear Pond",33.798895,-78.95336,-1.44131226442905,0.505624294996794,-1.43660689291601,-2.41951958948567,-0.451185464921333
"Decoy Lake",43.233333,-80.366667,-7.06751382383363,0.452933357145908,-7.06390826374579,-7.95833746784163,-6.17920826883501
"Devils Lake",43.4178,-89.73205,-5.28116693000772,0.218542081719575,-5.29442056937334,-5.68029864037587,-4.80874587556223
"Lac à Magie",44.263889,-66.079167,-0.930016818435875,0.557652487035827,-0.909475297562562,-2.05431736057752,0.0955965244839172
"Lake Annie",27.2,-81.416667,1.65503557665137,0.585795064799941,1.65246883889297,0.506970316862551,2.81204291404128
"Rostock Mammoth Site",43.5,-81,NA,NA,NA,NA,NA
"Sutherland Pond",41.391389,-74.037778,-4.83757274767578,0.395726394778581,-4.8358341099557,-5.62044058583788,-4.07584257379594
"Basswood Road Lake/Splan Pond",45.255556,-67.330556,-8.98133155504063,0.687152700855695,-8.97687434356775,-10.3448027711795,-7.61263101452092
"Brewster Creek",41.98044,-88.24441,0.408270371307485,0.353500241003449,0.411774414938653,-0.285507039537463,1.10789354929196
"Blackwoods Hollow",44.313195,-68.22364,NA,NA,NA,NA,NA
"Conroy Lake",46.283333,-67.883333,2.87413606960091,1.26802846885678,2.88747306325337,0.293312563043264,5.28441984749189
"Appleman Lake",41.623285,-85.212085,-0.76033180832741,0.381501342265008,-0.746326483920821,-1.55320279618679,-0.0531371471135836
"Fort Bragg (core PAW2)",35.173545,-79.089805,NA,NA,NA,NA,NA
"Black Gum Swamp",42.5375,-72.1829,-3.58629712434466,0.431239265562845,-3.59370127769962,-4.41642380881128,-2.72117267178865
"Tannersville Bog",41.038875,-75.263845,NA,NA,NA,NA,NA
"Crystal Lake",42.234015,-88.357005,-5.34064312297871,0.678049355851593,-5.33305838010033,-6.67656056414677,-4.02657893316229
"White Lake",40.99967,-74.91347,-3.41120362325238,0.295105074956541,-3.406743647778,-3.99453285791435,-2.82897759658065
"Ballston Lake",42.94975,-73.85325,-6.02086574543628,0.457774122630389,-6.02502450539867,-6.90872373299056,-5.11654221087673
"Jay Lake",46.23435,-89.28155,NA,NA,NA,NA,NA
"Lake O' Pines",46.140435,-89.2553,-3.18036759561664,0.371974558563018,-3.16854940210033,-3.91948733819653,-2.47727027057251
"Twiss Marl Pond",43.44083,-79.95551,1.36244431143095,0.913560139296245,1.39232481830454,-0.493467276232092,3.0420533390822
"Silver Lake",40.354335,-83.812515,-3.59873497738755,0.647793862439046,-3.59050615178243,-4.87678856525992,-2.33963742494581
"Lake Tulane",27.58613,-81.503395,0.0394600664159355,0.42748759932697,0.0394398803967526,-0.797167074456037,0.860300518759976
"Spicer Lake",41.75738,-86.52208,-3.11463357860729,0.332986960573109,-3.11311448098637,-3.77817403077758,-2.47447130093506
"Mary Lake",44.735655,-81.00256,NA,NA,NA,NA,NA
"South Rhody peatland",46.565795,-86.0752,NA,NA,NA,NA,NA
"Lake Grinnell",41.098185,-74.63963,-1.65287892276968,0.38397786261048,-1.65468138172058,-2.41039019310099,-0.89290788475233
"Lac Triangle",48.710435,-65.41279,NA,NA,NA,NA,NA
"White Pond",34.16759,-80.77616,-1.87287524987701,0.411717371885501,-1.87019559683685,-2.68107003367439,-1.07283920650576
"Stotzel-Leis Site",40.216667,-84.689444,-5.38980960115046,0.364915521143729,-5.3796281302932,-6.13407549409094,-4.71296499603057
"Benson Pond",42.377775,-73.09478,-0.0233711931595054,0.445611270523326,-0.0324340205159657,-0.865390313770933,0.877452114999266
"Berry Pond",42.62006,-71.086805,-9.27480291021435,0.259220865011416,-9.27445782678733,-9.78320897132523,-8.7629628346772
"Blaney's Pond",41.471805,-70.766135,-0.65488602440057,0.260917213019907,-0.645885382804469,-1.19015683081944,-0.170936418041186
"Blood Pond",42.08019,-71.96105,-4.52439185983839,0.350078754590254,-4.50289927880464,-5.29094144349911,-3.89852686541755
"Deep-Falmouth Pond",41.564035,-70.63573,-3.81053826827443,0.305466980133393,-3.79961519786186,-4.43281074931358,-3.24285821680603
"Deep-Taunton Pond",41.88215,-71.012,-4.87781459675652,0.363167997640739,-4.87087932228053,-5.60797118084111,-4.1848564334509
"Doe Pond",42.17535,-72.7018,-5.31838030256821,0.360017618643718,-5.31297578586303,-6.03825310996137,-4.63526072613846
"Green Pond",42.56705,-72.5108,NA,NA,NA,NA,NA
"Guilder Pond",42.10864,-73.4372,-4.96400141798321,0.285081794602913,-4.97067178955141,-5.51228652652461,-4.3929519893442
"Knob Hill Pond",44.36035,-72.37295,-2.11049935600725,0.420972711641998,-2.09220109822978,-2.96109707048573,-1.31977180962062
"Little Royalston Pond",42.67595,-72.19285,-4.95401811669092,0.256330420303348,-4.95289483084936,-5.45545482878858,-4.45572789581525
"Little Willey Pond",43.2917,-71.1781,-7.56333104346648,0.41626350827916,-7.55690282804203,-8.39904291434106,-6.76254034607652
"Sears Pond",40.886,-72.5783,NA,NA,NA,NA,NA
"Uncle Seth's Pond",41.43305,-70.66464,-0.986649660506564,0.281582347903178,-0.981111851864948,-1.5551170908835,-0.452305668406527
"Ware Pond",42.48245,-70.88225,NA,NA,NA,NA,NA
"West Side Pond",41.8545,-73.2566,-3.82350092302623,0.303861553292099,-3.81614781536123,-4.43758742039615,-3.24290838713066
