model,median_skill,lower,upper,null
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/TRACE_pr_anom_100km_ena.nc,-0.004202803664456356,-0.008848335944238372,0.00024232120161848947,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/COSMOS-S_pr_anom_100km_ena.nc,-0.23420966104718366,-0.2569319403462529,-0.21256390685047966,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/CM2Mc_pr_anom_100km_ena.nc,-0.19858798914301234,-0.22546968668155298,-0.17292756439524654,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/CCSM-MARUM_pr_anom_100km_ena.nc,-0.004106924823246039,-0.01385798167599761,0.005383266745228285,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/CCSM-NCAR_pr_anom_100km_ena.nc,-0.21919166201449458,-0.24764033269279762,-0.18901390819789338,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/TRACE_LORENZ_pr_anom_100km_ena.nc,-0.045085457520954275,-0.052077789482701364,-0.03869047977916873,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/MIROC-S_pr_anom_100km_ena.nc,-0.06562612677998736,-0.08560008629460371,-0.04580855134881311,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/COSMOS-W_pr_anom_100km_ena.nc,-0.2716377326829318,-0.2932869086346448,-0.24692391270534553,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/HadCM3_pr_anom_100km_ena.nc,-0.16481433569057957,-0.19741617730392752,-0.13444732586445918,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/IPSL_pr_anom_100km_ena.nc,-0.17812746357199782,-0.19764475585911326,-0.15752753503214212,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/TRACE_MWF_pr_anom_100km_ena.nc,0.03332801035241317,0.0239083369395654,0.03670685901571945,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/MIROC-W_pr_anom_100km_ena.nc,-0.012421559487430622,-0.015147221726978988,-0.009436584353131883,"Mean Change Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/TRACE_pr_anom_100km_ena.nc,-0.03447714653665124,-0.03931270358527452,-0.031440094257003545,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/COSMOS-S_pr_anom_100km_ena.nc,-0.27143122806952225,-0.304176160178688,-0.23863447941932747,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/CM2Mc_pr_anom_100km_ena.nc,-0.2349738580632189,-0.27328487637620413,-0.20053471457551372,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/CCSM-MARUM_pr_anom_100km_ena.nc,-0.035304201791800605,-0.05113956255196682,-0.01857843481044852,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/CCSM-NCAR_pr_anom_100km_ena.nc,-0.25801144864921666,-0.2980470660539196,-0.21675456024683393,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/TRACE_LORENZ_pr_anom_100km_ena.nc,-0.07792202847505758,-0.07936298986090784,-0.07636803640277057,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/MIROC-S_pr_anom_100km_ena.nc,-0.09779510008623293,-0.1268341334145217,-0.07107454959361004,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/COSMOS-W_pr_anom_100km_ena.nc,-0.31062539418411284,-0.34533056865979733,-0.2771673298214279,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/HadCM3_pr_anom_100km_ena.nc,-0.2016642249705941,-0.2453671263576882,-0.16174705575720982,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/IPSL_pr_anom_100km_ena.nc,-0.21235825694499844,-0.24269378404772535,-0.18514957699171405,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/TRACE_MWF_pr_anom_100km_ena.nc,0.0005240989903145254,-0.013357586915454167,0.013411791497304693,"Spatial Configuration Skill"
resolution_sensitivity/100km/model_precipitation_anomaly_100km_ena/MIROC-W_pr_anom_100km_ena.nc,-0.043798302092318164,-0.05498544167876673,-0.03329513300714293,"Spatial Configuration Skill"
