model,median_skill,lower,upper,null
model_precipitation_anomaly_50km_ena/TRACE_pr_anom_50km_ena.nc,-0.015668588560705965,-0.01819765655525707,-0.012629930284824287,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/TRACE_MWF_pr_anom_50km_ena.nc,0.028846416671739705,0.026141746899850826,0.03771178572853717,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/COSMOS-S_pr_anom_50km_ena.nc,-0.22392945466167014,-0.23647925551428628,-0.20931292263537293,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/COSMOS-W_pr_anom_50km_ena.nc,-0.26244814092375957,-0.2743407482472877,-0.24890797703826295,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/TRACE_LORENZ_pr_anom_50km_ena.nc,-0.04169258399589748,-0.04635369559868918,-0.036106559534732297,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/HadCM3_pr_anom_50km_ena.nc,-0.15910889964444297,-0.17921626000227864,-0.14008075580567825,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/IPSL_pr_anom_50km_ena.nc,-0.16364677791006255,-0.1760654889939166,-0.15062764679797436,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/CM2Mc_pr_anom_50km_ena.nc,-0.18250927023995933,-0.20249835333124566,-0.16792861007545246,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/CCSM-NCAR_pr_anom_50km_ena.nc,-0.21433756543763183,-0.23321764043254123,-0.19608010636858664,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/MIROC-W_pr_anom_50km_ena.nc,-0.010000812762038791,-0.01172629662918312,-0.007225996484297115,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/CCSM-MARUM_pr_anom_50km_ena.nc,0.005052448902116424,-0.0013997618543473145,0.011912749933909228,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/MIROC-S_pr_anom_50km_ena.nc,-0.057756724295352724,-0.07198243000462456,-0.044649467173231594,"Mean Change Skill"
model_precipitation_anomaly_50km_ena/TRACE_pr_anom_50km_ena.nc,-0.03291064092617868,-0.037499535651162264,-0.03194930987371292,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/TRACE_MWF_pr_anom_50km_ena.nc,0.016573286625007233,0.003681270189097141,0.024018872600772623,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/COSMOS-S_pr_anom_50km_ena.nc,-0.24649661116717425,-0.26620631831675823,-0.22617170963678968,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/COSMOS-W_pr_anom_50km_ena.nc,-0.2851912366073335,-0.30497806568383434,-0.26631875068928346,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/TRACE_LORENZ_pr_anom_50km_ena.nc,-0.060976019829227734,-0.06225346648842511,-0.059626421034727484,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/HadCM3_pr_anom_50km_ena.nc,-0.18091984933196614,-0.20756662306939178,-0.15589452531343917,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/IPSL_pr_anom_50km_ena.nc,-0.18565634783663243,-0.20322927522225087,-0.1664790505108018,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/CM2Mc_pr_anom_50km_ena.nc,-0.20519438405267065,-0.23040206625427384,-0.18413369889400122,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/CCSM-NCAR_pr_anom_50km_ena.nc,-0.23615966040264147,-0.2628662884650603,-0.21275441735333755,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/MIROC-W_pr_anom_50km_ena.nc,-0.02946605261699342,-0.035971342886719215,-0.021256627605339418,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/CCSM-MARUM_pr_anom_50km_ena.nc,-0.013595897925531064,-0.025183697687028106,-0.0018619746852395203,"Spatial Configuration Skill"
model_precipitation_anomaly_50km_ena/MIROC-S_pr_anom_50km_ena.nc,-0.07659568660850868,-0.09683169093328736,-0.0592127142274661,"Spatial Configuration Skill"
