model,median_skill,lower,upper,null
model_temperature_anomaly_50km_ena/MIROC-S_tas_anom_50km_ena.nc,0.259598488141072,0.23401718241843325,0.29470051727935886,"Mean Change Skill"
model_temperature_anomaly_50km_ena/MIROC-W_tas_anom_50km_ena.nc,-0.004299628965378721,-0.007169434125509744,-0.001072365651090435,"Mean Change Skill"
model_temperature_anomaly_50km_ena/CCSM-MARUM_tas_anom_50km_ena.nc,0.18976396850612842,0.17433329435373202,0.20722458270419697,"Mean Change Skill"
model_temperature_anomaly_50km_ena/HadCM3_tas_anom_50km_ena.nc,-0.04145934137893015,-0.04494126979800095,-0.03776830080688345,"Mean Change Skill"
model_temperature_anomaly_50km_ena/COSMOS-W_tas_anom_50km_ena.nc,-0.0030308486029266835,-0.010513345079218084,0.0055012802407259365,"Mean Change Skill"
model_temperature_anomaly_50km_ena/COSMOS-S_tas_anom_50km_ena.nc,0.04973078628299199,0.04221120276741008,0.058026121292123964,"Mean Change Skill"
model_temperature_anomaly_50km_ena/IPSL_tas_anom_50km_ena.nc,0.02156754268337102,0.018627287362430044,0.024686135703339662,"Mean Change Skill"
model_temperature_anomaly_50km_ena/TRACE_tas_anom_50km_ena.nc,0.34596662548499013,0.3015279120254109,0.3827288491866583,"Mean Change Skill"
model_temperature_anomaly_50km_ena/CM2Mc_tas_anom_50km_ena.nc,0.24139315283703933,0.2188192953377191,0.27209671472476127,"Mean Change Skill"
model_temperature_anomaly_50km_ena/CCSM-NCAR_tas_anom_50km_ena.nc,0.21749586376681068,0.19897895580488237,0.2413021709525928,"Mean Change Skill"
model_temperature_anomaly_50km_ena/TRACE_LORENZ_tas_anom_50km_ena.nc,0.35468406522061313,0.3064560341421736,0.40540556326678706,"Mean Change Skill"
model_temperature_anomaly_50km_ena/TRACE_MWF_tas_anom_50km_ena.nc,0.1959401457490566,0.17564744126714305,0.22203138675763046,"Mean Change Skill"
model_temperature_anomaly_50km_ena/MIROC-S_tas_anom_50km_ena.nc,-0.06165720085110038,-0.13778211926855607,0.01304046077376353,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/MIROC-W_tas_anom_50km_ena.nc,-0.4388031405283157,-0.5203018193613818,-0.3618729854083712,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/CCSM-MARUM_tas_anom_50km_ena.nc,-0.160795996781129,-0.23707999145979453,-0.08581106282997217,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/HadCM3_tas_anom_50km_ena.nc,-0.4915293769254204,-0.5768755658599214,-0.4127806689470652,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/COSMOS-W_tas_anom_50km_ena.nc,-0.4366696471861897,-0.5237414403003879,-0.35269397104460676,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/COSMOS-S_tas_anom_50km_ena.nc,-0.36018602151829326,-0.43745898364702085,-0.28851709396514535,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/IPSL_tas_anom_50km_ena.nc,-0.40141867642013485,-0.48026268602546807,-0.3268794513335245,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/TRACE_tas_anom_50km_ena.nc,0.05846401117473177,0.021306744128201747,0.09335547050184745,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/CM2Mc_tas_anom_50km_ena.nc,-0.08714840221594677,-0.15817621186569195,-0.012284529255517151,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/CCSM-NCAR_tas_anom_50km_ena.nc,-0.12195043526246085,-0.1978251051966408,-0.042969448089200446,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/TRACE_LORENZ_tas_anom_50km_ena.nc,0.07803245357644273,0.03613295581214725,0.11988268825136339,"Spatial Configuration Skill"
model_temperature_anomaly_50km_ena/TRACE_MWF_tas_anom_50km_ena.nc,-0.15174581359137462,-0.22913946522583006,-0.07064155053931344,"Spatial Configuration Skill"
